5 #anatomical sites
5 #samples
9 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	P	0	P	0	32;33;36;37	0.0	0.013850402190678355	719	0
0	P	0	P	1	18;30	0.0	0.027700724154234527	358	0
0	P	0	P	2	19;23;27;29	0.0	0.012578606376072563	792	0
0	P	0	P	3	20;21;22;24	0.0	0.01191894264596557	836	0
0	P	0	P	4	17	0.28736168778500487	0.6824447520328816	145	44
0	P	0	P	5	2;3;4;7;8;15;16	0.6542670732559325	0.8191478174554213	915	532
0	P	0	P	6	10;12	0.0	0.025640940916935785	387	0
0	P	0	P	7	5;6;9	0.0	0.016750395182659243	594	0
0	P	0	P	8	0;1	0.8465128026945052	1	201	204
1	M1	1	M1	0	32;33;36;37	0.0	0.020251924620172362	793	1
1	M1	1	M1	1	18;30	0.0	0.026595650118035195	373	0
1	M1	1	M1	2	19;23;27;29	0.0	0.020613996949861157	779	1
1	M1	1	M1	3	20;21;22;24	0.0	0.01980467968656736	811	1
1	M1	1	M1	4	17	0.0	0.045871072557456025	215	0
1	M1	1	M1	5	2;3;4;7;8;15;16	0.0	0.007062145129080401	1413	0
1	M1	1	M1	6	10;12	0.26174823838093164	0.5210797976010542	311	73
1	M1	1	M1	7	5;6;9	0.8731314238291554	1	274	280
1	M1	1	M1	8	0;1	0.7984309166421897	1	225	205
2	M2	2	M2	0	32;33;36;37	0.0	0.02010061529278268	799	1
2	M2	2	M2	1	18;30	0.0	0.03851921504486336	415	1
2	M2	2	M2	2	19;23;27;29	0.5110279699710516	0.7227339226376945	556	246
2	M2	2	M2	3	20;21;22;24	0.0	0.011547336394360154	863	0
2	M2	2	M2	4	17	0.0	0.08492821866315496	186	1
2	M2	2	M2	5	2;3;4;7;8;15;16	0.937216215902754	1	707	740
2	M2	2	M2	6	10;12	0.0	0.04170370768879961	383	1
2	M2	2	M2	7	5;6;9	0.0	0.016103038635599778	618	0
2	M2	2	M2	8	0;1	0.9197589735378999	1	178	211
3	M3	3	M3	0	32;33;36;37	0.0	0.012422350639801185	802	0
3	M3	3	M3	1	18;30	0.8457922335873059	1	199	202
3	M3	3	M3	2	19;23;27;29	0.0	0.02020123570121106	795	1
3	M3	3	M3	3	20;21;22;24	0.0	0.012642214903236634	788	0
3	M3	3	M3	4	17	0.0	0.08149798033430235	194	1
3	M3	3	M3	5	2;3;4;7;8;15;16	0.9126856020173235	1	715	713
3	M3	3	M3	6	10;12	0.0	0.03788637095715608	422	1
3	M3	3	M3	7	5;6;9	0.0	0.017889058929537925	556	0
3	M3	3	M3	8	0;1	0.8891444529806896	1	199	219
4	M4	4	M4	0	32;33;36;37	0.2861513385145607	0.4660351881144693	642	146
4	M4	4	M4	1	18;30	0.0	0.039752382801620544	402	1
4	M4	4	M4	2	19;23;27;29	0.0	0.019756202201032778	813	1
4	M4	4	M4	3	20;21;22;24	0.9121097100402311	1	366	389
4	M4	4	M4	4	17	0.0	0.05319072880421345	185	0
4	M4	4	M4	5	2;3;4;7;8;15;16	0.9307137507139382	1	704	728
4	M4	4	M4	6	10;12	0.0	0.025640940916935785	387	0
4	M4	4	M4	7	5;6;9	0.0	0.02846601615826913	563	1
4	M4	4	M4	8	0;1	0.936321823277544	1	167	206
