6 #anatomical sites
7 #samples
76 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
0	P_0	0	P	0	0	94	108
0	P_0	0	P	1	1	202	1
0	P_0	0	P	2	3	100	102
0	P_0	0	P	3	4	204	0
0	P_0	0	P	4	9	199	0
0	P_0	0	P	5	10	203	2
0	P_0	0	P	6	11	191	0
0	P_0	0	P	7	12	189	0
0	P_0	0	P	8	13	201	1
0	P_0	0	P	9	14	193	0
0	P_0	0	P	10	15	194	0
0	P_0	0	P	11	16	189	0
0	P_0	0	P	12	17	202	0
0	P_0	0	P	13	18	190	0
0	P_0	0	P	14	19	203	0
0	P_0	0	P	15	20	193	0
0	P_0	0	P	16	21	202	0
0	P_0	0	P	17	22	195	1
0	P_0	0	P	18	23	181	3
0	P_0	0	P	19	24	209	0
0	P_0	0	P	20	25	204	1
0	P_0	0	P	21	26	197	0
0	P_0	0	P	22	27	188	1
0	P_0	0	P	23	28	190	0
0	P_0	0	P	24	29	204	1
0	P_0	0	P	25	30	182	0
0	P_0	0	P	26	31	173	1
0	P_0	0	P	27	32	212	0
0	P_0	0	P	28	33	208	0
0	P_0	0	P	29	34	201	0
0	P_0	0	P	30	35	225	0
0	P_0	0	P	31	36	195	0
0	P_0	0	P	32	37	207	0
0	P_0	0	P	33	38	206	2
0	P_0	0	P	34	39	189	0
0	P_0	0	P	35	40	211	0
0	P_0	0	P	36	41	216	0
0	P_0	0	P	37	42	223	0
0	P_0	0	P	38	43	166	0
0	P_0	0	P	39	44	199	0
0	P_0	0	P	40	45	190	3
0	P_0	0	P	41	46	199	0
0	P_0	0	P	42	47	194	0
0	P_0	0	P	43	48	191	0
0	P_0	0	P	44	49	209	0
0	P_0	0	P	45	50	206	0
0	P_0	0	P	46	51	187	0
0	P_0	0	P	47	52	204	0
0	P_0	0	P	48	55	214	0
0	P_0	0	P	49	56	178	0
0	P_0	0	P	50	57	171	1
0	P_0	0	P	51	58	184	0
0	P_0	0	P	52	59	200	1
0	P_0	0	P	53	60	202	0
0	P_0	0	P	54	61	198	0
0	P_0	0	P	55	62	209	1
0	P_0	0	P	56	63	173	0
0	P_0	0	P	57	64	186	0
0	P_0	0	P	58	65	197	0
0	P_0	0	P	59	66	229	1
0	P_0	0	P	60	67	201	0
0	P_0	0	P	61	68	193	0
0	P_0	0	P	62	69	207	0
0	P_0	0	P	63	70	209	0
0	P_0	0	P	64	71	206	0
0	P_0	0	P	65	72	178	0
0	P_0	0	P	66	73	201	0
0	P_0	0	P	67	74	200	0
0	P_0	0	P	68	76	200	0
0	P_0	0	P	69	77	221	1
0	P_0	0	P	70	78	178	0
0	P_0	0	P	71	80	210	2
0	P_0	0	P	72	81	190	0
0	P_0	0	P	73	83	193	0
0	P_0	0	P	74	84	192	0
0	P_0	0	P	75	86	185	0
1	P_1	0	P	0	0	107	93
1	P_1	0	P	1	1	162	44
1	P_1	0	P	2	3	173	40
1	P_1	0	P	3	4	219	0
1	P_1	0	P	4	9	166	40
1	P_1	0	P	5	10	218	0
1	P_1	0	P	6	11	199	0
1	P_1	0	P	7	12	227	0
1	P_1	0	P	8	13	168	0
1	P_1	0	P	9	14	202	0
1	P_1	0	P	10	15	188	0
1	P_1	0	P	11	16	225	0
1	P_1	0	P	12	17	213	0
1	P_1	0	P	13	18	194	0
1	P_1	0	P	14	19	216	0
1	P_1	0	P	15	20	198	0
