5 #anatomical sites
6 #samples
25 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
0	P_0	0	P	0	0	96	96
0	P_0	0	P	1	1	101	87
0	P_0	0	P	2	2	155	20
0	P_0	0	P	3	3	215	1
0	P_0	0	P	4	4	208	0
0	P_0	0	P	5	5	208	0
0	P_0	0	P	6	6	191	0
0	P_0	0	P	7	7	169	0
0	P_0	0	P	8	8	200	0
0	P_0	0	P	9	9	207	0
0	P_0	0	P	10	10	195	0
0	P_0	0	P	11	11	184	2
0	P_0	0	P	12	12	200	0
0	P_0	0	P	13	13	191	0
0	P_0	0	P	14	14	185	0
0	P_0	0	P	15	15	205	0
0	P_0	0	P	16	16	199	0
0	P_0	0	P	17	17	206	1
0	P_0	0	P	18	18	205	0
0	P_0	0	P	19	19	206	0
0	P_0	0	P	20	20	226	0
0	P_0	0	P	21	21	219	0
0	P_0	0	P	22	22	192	0
0	P_0	0	P	23	24	197	0
0	P_0	0	P	24	28	228	0
1	P_1	0	P	0	0	101	105
1	P_1	0	P	1	1	119	91
1	P_1	0	P	2	2	166	35
1	P_1	0	P	3	3	223	0
1	P_1	0	P	4	4	188	1
1	P_1	0	P	5	5	198	0
1	P_1	0	P	6	6	191	1
1	P_1	0	P	7	7	180	0
1	P_1	0	P	8	8	188	0
1	P_1	0	P	9	9	187	0
1	P_1	0	P	10	10	230	1
1	P_1	0	P	11	11	201	0
1	P_1	0	P	12	12	175	0
1	P_1	0	P	13	13	189	2
1	P_1	0	P	14	14	205	0
1	P_1	0	P	15	15	187	0
1	P_1	0	P	16	16	195	0
1	P_1	0	P	17	17	190	0
1	P_1	0	P	18	18	213	0
1	P_1	0	P	19	19	215	0
1	P_1	0	P	20	20	180	0
1	P_1	0	P	21	21	204	0
1	P_1	0	P	22	22	196	0
1	P_1	0	P	23	24	198	0
1	P_1	0	P	24	28	200	0
2	M1_0	1	M1	0	0	79	105
2	M1_0	1	M1	1	1	96	111
2	M1_0	1	M1	2	2	172	0
2	M1_0	1	M1	3	3	190	0
2	M1_0	1	M1	4	4	187	0
2	M1_0	1	M1	5	5	93	114
2	M1_0	1	M1	6	6	86	118
2	M1_0	1	M1	7	7	91	85
2	M1_0	1	M1	8	8	198	0
2	M1_0	1	M1	9	9	74	74
2	M1_0	1	M1	10	10	223	0
2	M1_0	1	M1	11	11	206	2
2	M1_0	1	M1	12	12	192	0
2	M1_0	1	M1	13	13	189	0
2	M1_0	1	M1	14	14	202	0
2	M1_0	1	M1	15	15	216	0
2	M1_0	1	M1	16	16	198	1
2	M1_0	1	M1	17	17	193	0
2	M1_0	1	M1	18	18	191	0
2	M1_0	1	M1	19	19	109	97
2	M1_0	1	M1	20	20	184	0
2	M1_0	1	M1	21	21	180	0
2	M1_0	1	M1	22	22	211	2
2	M1_0	1	M1	23	24	210	0
2	M1_0	1	M1	24	28	200	0
3	M2_0	2	M2	0	0	116	114
3	M2_0	2	M2	1	1	90	121
3	M2_0	2	M2	2	2	188	0
3	M2_0	2	M2	3	3	211	0
3	M2_0	2	M2	4	4	211	1
3	M2_0	2	M2	5	5	233	1
3	M2_0	2	M2	6	6	202	0
3	M2_0	2	M2	7	7	212	0
3	M2_0	2	M2	8	8	202	0
3	M2_0	2	M2	9	9	217	0
3	M2_0	2	M2	10	10	95	116
3	M2_0	2	M2	11	11	189	0
3	M2_0	2	M2	12	12	225	1
3	M2_0	2	M2	13	13	218	1
3	M2_0	2	M2	14	14	221	0
3	M2_0	2	M2	15	15	191	0
3	M2_0	2	M2	16	16	100	100
3	M2_0	2	M2	17	17	192	0
3	M2_0	2	M2	18	18	96	106
3	M2_0	2	M2	19	19	228	0
3	M2_0	2	M2	20	20	104	92
3	M2_0	2	M2	21	21	213	0
3	M2_0	2	M2	22	22	148	63
3	M2_0	2	M2	23	24	170	41
3	M2_0	2	M2	24	28	166	41
4	M3_0	3	M3	0	0	111	109
4	M3_0	3	M3	1	1	105	99
4	M3_0	3	M3	2	2	109	114
4	M3_0	3	M3	3	3	105	93
4	M3_0	3	M3	4	4	182	0
4	M3_0	3	M3	5	5	197	1
4	M3_0	3	M3	6	6	173	0
4	M3_0	3	M3	7	7	217	1
4	M3_0	3	M3	8	8	206	0
4	M3_0	3	M3	9	9	232	0
4	M3_0	3	M3	10	10	215	0
4	M3_0	3	M3	11	11	215	0
4	M3_0	3	M3	12	12	89	96
4	M3_0	3	M3	13	13	179	0
4	M3_0	3	M3	14	14	112	113
4	M3_0	3	M3	15	15	207	0
4	M3_0	3	M3	16	16	180	0
4	M3_0	3	M3	17	17	89	97
4	M3_0	3	M3	18	18	203	1
4	M3_0	3	M3	19	19	186	0
4	M3_0	3	M3	20	20	192	0
4	M3_0	3	M3	21	21	106	98
4	M3_0	3	M3	22	22	222	1
4	M3_0	3	M3	23	24	223	0
4	M3_0	3	M3	24	28	211	0
5	M4_0	4	M4	0	0	96	103
5	M4_0	4	M4	1	1	85	111
5	M4_0	4	M4	2	2	102	99
5	M4_0	4	M4	3	3	187	0
5	M4_0	4	M4	4	4	119	92
5	M4_0	4	M4	5	5	192	0
5	M4_0	4	M4	6	6	218	0
5	M4_0	4	M4	7	7	198	0
5	M4_0	4	M4	8	8	92	109
5	M4_0	4	M4	9	9	200	0
5	M4_0	4	M4	10	10	197	1
5	M4_0	4	M4	11	11	113	107
5	M4_0	4	M4	12	12	179	1
5	M4_0	4	M4	13	13	96	96
5	M4_0	4	M4	14	14	183	0
5	M4_0	4	M4	15	15	97	104
5	M4_0	4	M4	16	16	178	0
5	M4_0	4	M4	17	17	204	0
5	M4_0	4	M4	18	18	185	0
5	M4_0	4	M4	19	19	211	0
5	M4_0	4	M4	20	20	183	0
5	M4_0	4	M4	21	21	212	3
5	M4_0	4	M4	22	22	175	0
5	M4_0	4	M4	23	24	188	0
5	M4_0	4	M4	24	28	210	0
